country,champs,Drivers,Population
Argentina,5,25,39921833
Australia,4,17,20264082
Austria,4,15,8192880
Belgium,0,23,10379067
Brazil,8,32,188078227
Canada,1,14,38156802
Chile,0,1,16134219
Colombia,0,3,43593035
Czechia,0,1,10235455
Denmark,0,5,5450661
Finland,4,9,5231372
France,4,73,60876136
Germany,12,53,82422299
India,0,2,1095351995
Indonesia,0,1,245452739
Ireland,0,5,4062235
Italy,3,100,58133509
Japan,0,20,127463611
Malaysia,0,1,32889657
Mexico,0,6,107449525
Monaco,0,4,39589
Netherlands,0,17,16491461
New Zealand,1,9,4076140
Poland,0,1,38536869
Portugal,0,4,10605870
Russia,0,4,142893540
South Africa,1,23,44187637
Spain,2,15,40397842
Sweden,0,10,9016596
Switzerland,0,23,7523934
Thailand,0,2,64631595
United Kingdom,20,165,68329862
United States of America,2,157,298444215
Uruguay,0,4,3431932
Venezuela,0,3,25730435
Zimbabwe,0,4,12236805
